date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-27,16.7237,-62.1798,E,0.3066,0.2807,0.2285,,,,,,,,,,,,,,,,,,,,,,,-0.0295,-0.0088,0.0151,0.0278,0.0053
2001-01-27,16.7237,-62.1798,N,,0.014,-0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041
2001-01-27,16.7237,-62.1798,NE,,0.0088,-0.0051,-0.0065,-0.0309,-0.0298,,,,,,,,,,,-0.0474,-0.0488,-0.0316,-0.0211,0.0165,-0.0031,0.012,0.0093,-0.0252,-0.0065,-0.0105,0.0011,0.0013,0.0075
2001-01-27,16.7237,-62.1798,O,0.0834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-27,16.7237,-62.1798,S,,,,,,,,,,,,,,,,,,,,,,,-0.0191,-0.0202,0.0004,0.0034,0.0029,0.0149,0.0111,0.0108
2001-01-27,16.7237,-62.1798,SE,,0.0618,0.0298,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,
2001-09-08,16.7237,-62.1796,E,0.0105,0.0104,0.0012,0.0081,0.0072,-0.0037,-0.0042,0.0018,0.0112,0.0103,0.0095,0.0085,0.0077,0.0163,-0.001,,,,,,,,,,,,,,,
2001-09-08,16.7237,-62.1796,N,,-0.0139,-0.0233,-0.0196,-0.027,-0.0184,-0.0139,-0.0109,-0.0027,0.0085,0.0095,0.0262,0.0211,0.0185,0.0274,0.0295,0.0307,0.0275,0.0111,0.0017,0.0105,-0.0134,-0.0111,-0.0217,-0.0295,-0.0224,-0.001,-0.0005,0.0021,-0.0072
2001-09-08,16.7237,-62.1796,NE,,-0.0285,-0.031,-0.0278,-0.0249,-0.0192,-0.0066,0.0006,0.0002,0.0089,0.0022,-0.0082,-0.0186,-0.0172,-0.0094,,,,,,,,,,,,-0.0286,-0.0192,-0.0034,-0.0058
2001-09-08,16.7237,-62.1796,NO,,0.0376,0.0327,0.0276,0.0275,0.0354,0.0197,0.01,0.0098,0.0019,-0.0047,,,,,,,,,,,,,,,,-0.0097,-0.0046,-0.0036,-0.001
2001-09-08,16.7237,-62.1796,O,0.0537,0.0452,0.0408,0.0279,0.0276,0.0225,0.0141,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-09-08,16.7237,-62.1796,S,0.0455,0.0328,0.0453,0.0412,0.0287,0.0102,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-08,16.7237,-62.1796,SE,,0.0424,0.0404,0.0322,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-08,16.7237,-62.1796,SO,,0.0369,0.0323,0.0406,0.0311,0.0149,0.0143,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
2002-01-30,16.7178,-62.1835,E,-0.0704,-0.0627,-0.0628,-0.0619,-0.0557,-0.0533,-0.0537,-0.0485,-0.02,-0.0115,-0.0065,-0.004,-0.0013,0.005,0.0082,0.0095,0.0152,0.0195,0.0206,0.022,0.0175,0.0177,0.0172,0.0101,-0.0055,-0.0147,-0.0182,-0.0219,-0.0303,-0.0296
2002-01-30,16.7178,-62.1835,N,0.1031,0.0019,0.0071,-0.023,-0.0059,-0.0189,-0.0155,-0.003,-0.0073,0.0195,0.0217,0.0249,0.0205,0.0058,0.012,0.0086,0.0097,0.0311,0.0256,0.0179,1e-04,-0.0066,-0.007,-0.0082,-0.0123,-0.0144,-0.0135,-0.0139,-0.0141,-0.0123
2002-01-30,16.7178,-62.1835,NE,,0.0384,0.0526,0.0269,0.0201,0.0065,-0.0071,-0.0078,-0.0048,0.0002,-0.0072,-0.0126,-0.0056,-0.0038,-0.0026,0.0008,-0.0044,-0.0054,-0.001,0.0073,0.01,0.0077,0.0131,0.0159,0.0156,0.0109,0.0083,0.0051,0.0037,-0.0024
2002-01-30,16.7178,-62.1835,NO,,0.1112,0.013,0.004,-0.0004,-0.0041,-0.012,-0.0125,-0.013,-0.015,0.0141,0.0022,0.0004,-0.0111,-0.024,-0.0169,-0.0205,-0.0167,-0.0191,-0.0226,-0.0175,-0.0292,-0.0329,-0.0297,-0.029,-0.0306,-0.033,-0.0122,-0.0149,-0.0414
2002-01-30,16.7178,-62.1835,O,,0.0956,0.0882,0.0769,0.0652,0.0627,0.0634,0.0233,0.0181,0.0101,-0.0115,-0.0068,-0.0058,-0.0056,-0.0152,-0.0232,0.0115,0.0132,-0.0193,-0.0167,-0.0154,-0.0151,-0.015,-0.0139,-0.0142,-0.014,-0.0114,-0.0035,-0.0027,-0.0078
2002-01-30,16.7178,-62.1835,S,,0.1068,0.0299,0.0447,0.0466,0.0171,0.0132,0.0126,0.0087,0.0064,0.0026,0.0022,0.0047,0.0057,0.0094,0.0053,0.0013,-0.005,-0.0096,-0.0121,-0.0017,0.0013,0.0025,0.0055,0.0011,0.002,0.0024,-0.0044,-0.0025,0.0028
2002-01-30,16.7178,-62.1835,SE,,-0.0075,-0.0097,-0.009,-0.0068,-0.0052,-0.0064,-0.0046,-0.0024,0.0119,0.0094,0.011,0.0098,0.0005,0.001,-0.0013,0.0018,0.0026,0.0024,0.0009,-0.0024,-0.0023,-0.0058,-0.007,-0.0059,-0.0059,-0.0007,0.0063,0.0168,0.0166
2002-01-30,16.7178,-62.1835,SO,0.0894,0.0825,0.0415,0.0138,0.0075,0.0073,-0.0055,-0.0224,-0.0392,-0.036,-0.0358,-0.0338,-0.0239,-0.0133,-0.0261,-0.0134,-0.0004,0.064,0.0599,0.0696,0.0762,0.0429,0.0459,-0.0088,0.0116,-0.0158,-0.0214,-0.0265,-0.0353,-0.0358
2002-08-10,16.7242,-62.181,E,0.0676,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-10,16.7242,-62.181,N,,0.0659,0.0583,0.0547,0.0461,0.0396,0.042,0.0304,0.0064,0.0153,0.0211,0.0097,-0.0076,-0.0251,-0.015,-0.024,-0.0093,-0.0087,-0.0079,0.0006,-0.0036,-0.0119,-0.0199,-0.0265,0.0339,0.0523,-0.0137,-0.0122,-0.0422,-0.053
2002-08-10,16.7242,-62.181,NE,,0.0386,0.0301,0.0193,0.0,-0.0012,-0.0011,-0.0052,0.0036,-0.0137,0.0034,-0.0139,-0.0203,-0.0179,-0.0222,-0.0221,-0.0209,-0.0113,-0.0032,0.0012,0.0074,0.0071,0.0157,-0.002,0.0155,0.0215,-0.0119,-0.0188,-0.0102,-0.0017
2002-08-10,16.7242,-62.181,NO,0.0351,0.0154,0.0136,0.0101,0.0151,0.0077,0.0033,0.0008,0.0,-0.005,-0.008,,,,,,,,,,,,,,,,,,,
2002-08-10,16.7242,-62.181,O,,0.0246,0.0187,0.0148,0.012,0.0122,0.0076,0.005,-0.0033,-0.0084,,,,,,,,,,,,,,,,,,,,
2002-08-10,16.7242,-62.181,S,,0.0341,0.0301,0.0343,0.0345,0.0346,0.0168,0.0128,0.0011,-0.0037,-0.0064,0.0032,0.0034,0.0117,0.0115,-0.0036,-0.0122,-0.0116,-0.0033,0.0057,0.0112,0.0145,0.0037,0.0021,-0.002,0.006,-0.0026,-0.0076,-0.0072,0.002
2002-08-10,16.7242,-62.181,SE,0.0576,0.0494,0.0578,0.0578,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-10,16.7242,-62.181,SO,0.0462,0.028,0.0196,0.0294,0.029,0.0207,0.0202,0.0254,0.0207,0.0159,0.005,-0.0032,0.0124,0.0244,0.0271,0.0197,-0.0009,-0.0055,0.0039,0.0033,0.0091,0.0056,0.0022,-0.0044,-0.0057,-0.0127,-0.0099,-0.0119,-0.0064,-0.0013
2003-10-16,16.718,-62.1841,O,,0.027,,,,,,0.0,0.0121,,,,,,,,,,,,,,,,,,,,,
2003-10-16,16.718,-62.1841,S,,-0.0112,,,,,,,,,,,,,0.0022,-0.0096,,,,,,-0.0014,-0.0049,0.0046,0.0014,0.0065,-0.0025,1e-04,0.0025,-0.0071
2003-10-16,16.718,-62.1841,SO,0.0,0.0346,0.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-20,16.7237,-62.1807,E,,,,,,,,,,,,,,,,,,,,,,,-0.0092,-0.0092,-0.0062,-0.014,,,,
2004-01-20,16.7237,-62.1807,N,,,,,,,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,0.0028,-0.001,0.0115
2004-01-20,16.7237,-62.1807,NE,,,,,,,,,,,,,,,,,,,,,,,,,-1e-04,-0.0011,,,,
2004-01-20,16.7237,-62.1807,NO,0.0282,0.0208,0.0204,0.0173,0.0125,0.0096,0.0158,0.0087,0.0018,0.0013,-0.0058,,,,,,,,-0.0253,-0.0249,,,-0.0214,,0.0088,0.005,0.0052,0.0052,0.0007,-0.0064
2004-01-20,16.7237,-62.1807,O,,0.0469,0.0401,0.0325,0.0297,0.0257,0.0324,0.0256,,,,,,,,,,,,,,,,,,,,,,
2004-01-20,16.7237,-62.1807,S,,0.0136,0.0102,0.0102,0.0138,0.0138,0.0106,0.0123,0.011,0.0025,-0.0004,-0.0002,-0.0093,-0.0088,-0.0018,-0.0018,0.0,0.0127,0.0073,-0.0084,,,,,,,,,,
2004-01-20,16.7237,-62.1807,SE,,0.004,-0.0051,-0.0016,0.0016,0.0074,0.0131,0.0121,0.0045,0.0039,-0.0067,-0.0032,0.0029,0.0064,0.0058,0.0078,0.0063,-0.004,-0.0048,-0.0036,0.0014,-0.0018,0.0111,0.021,0.0077,0.0072,0.0048,-0.0104,-0.008,-0.0114
2004-01-20,16.7237,-62.1807,SO,0.0329,0.0395,0.0198,0.0217,0.0182,0.0102,0.0085,0.0104,0.0115,0.0032,1e-04,0.0013,0.0011,0.0082,,,,,,,,,,,,,,,,
2004-05-27,16.7229,-62.1829,E,,,,,-0.0501,-0.0284,-0.0157,0.0135,0.0169,0.0135,0.0141,0.0021,-0.0154,,,,,,,,,,,,,,,,,
2004-05-27,16.7229,-62.1829,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034,0.0101,0.0204
2004-05-27,16.7229,-62.1829,S,,0.029,0.0277,,,,,,,,,,,,,0.013,0.0021,0.0018,-1e-04,-0.0065,-0.0072,-0.0142,-0.0005,-0.0137,,-0.0192,-0.0018,0.032,-0.0042,-0.0127
2004-05-27,16.7229,-62.1829,SE,,-0.0214,-0.0214,-0.0211,-0.0281,-0.0304,-0.0151,-0.0072,0.0004,0.0076,,,,,,,,,,,,,,,,,,,,-0.0014
2004-05-27,16.7229,-62.1829,SO,0.0273,,,,,,,,,,,,,,-0.0192,-0.0334,-0.0336,-0.0299,-0.0227,-0.0204,-0.0142,-0.01,-1e-04,,,,,,0.0549,0.0568
2005-04-12,16.7186,-62.183,E,0.1915,0.152,0.1177,0.0951,0.0652,0.0565,0.0214,0.0188,0.0302,0.0369,0.0006,,,,,,-0.0144,-0.0152,-0.0022,-0.0054,-0.0026,-0.0098,-0.0078,-0.0103,-0.0012,-0.0081,0.0182,0.0281,0.0101,-0.0117
2005-04-12,16.7186,-62.183,N,0.06,0.0062,,,,,,,,,,,,,0.0252,,,-0.0051,-0.0087,,,-0.0124,0.0031,-0.0014,-0.0025,,-0.0021,,0.0157,
2005-04-12,16.7186,-62.183,NE,,0.0351,0.0297,0.0109,0.0116,0.0062,-0.0029,-0.0133,-0.0112,-0.004,0.0038,0.0201,,,,,,,,,,,,,,,,,,
2005-04-12,16.7186,-62.183,NO,,0.1539,0.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-12,16.7186,-62.183,O,,0.1824,0.1645,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-12,16.7186,-62.183,S,,,,,,,,,-0.0003,-0.0038,-0.0064,-0.0099,-0.0105,-0.0118,-0.0136,-0.0152,-0.021,-0.0267,-0.0265,-0.0238,-0.0206,-0.0197,-0.0084,-0.0117,0.0009,0.0086,0.0133,0.0162,0.0157,0.0079
2005-04-12,16.7186,-62.183,SE,,,,,,,0.0189,0.0129,0.0138,0.0154,0.0202,0.0169,0.004,0.0034,0.0069,0.0093,-0.005,-0.0127,-0.0156,-0.0202,-0.0185,-0.012,-0.0022,-0.006,-0.0066,0.009,0.0083,-0.0085,0.0028,0.007
2005-04-12,16.7186,-62.183,SO,0.1089,,,,,0.1019,0.0771,0.0574,0.0425,0.026,,,,,,,,-0.0491,-0.0558,-0.0611,-0.0563,-0.039,,,,,,0.0074,0.0087,0.0042
2005-09-03,16.7175,-62.1838,E,0.1466,,,,,,,0.0367,0.0213,-0.0441,-0.037,-0.0258,-0.013,-0.0042,0.0011,0.0067,0.0048,0.004,-0.0043,-0.0004,0.0004,0.0038,0.0111,0.0068,-0.0115,-0.0105,-0.0025,,,
2005-09-03,16.7175,-62.1838,N,0.1672,0.1605,,,-0.0146,-0.0475,-0.0641,-0.0641,-0.0475,-0.019,-0.0185,-0.0228,-0.0298,-0.0193,-0.0286,-0.0247,-0.034,0.0048,0.0328,0.0321,0.0445,0.047,-0.0072,-0.0092,-0.0009,0.0107,0.0225,0.0381,0.046,0.0989
2005-09-03,16.7175,-62.1838,NE,,0.1739,,0.0694,0.0224,-0.009,-0.0096,-0.0613,-0.0701,-0.0612,-0.0623,-0.0609,-0.0737,-0.0695,-0.0543,-0.0285,-0.0148,-0.0048,0.0005,0.0111,0.0319,0.0379,0.0442,0.0383,0.0367,0.0292,0.0242,0.0172,0.0085,0.0117
2005-09-03,16.7175,-62.1838,NO,,-0.0069,-0.0701,-0.0946,,,,,,,,,,,,,,,,,,,,,,,,0.0099,0.0245,0.0218
2005-09-03,16.7175,-62.1838,O,,0.2481,0.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-03,16.7175,-62.1838,S,,0.1736,0.1563,0.1454,0.1226,,,0.0164,0.0119,,,,,,,-0.0166,-0.0202,-0.0199,-0.018,-0.0102,0.015,0.0177,0.0217,0.0033,0.0071,0.0018,0.0029,-0.0156,-0.0103,-0.0122
2005-09-03,16.7175,-62.1838,SE,,0.1607,,,,,,0.0168,0.0107,0.0015,-0.0025,-0.0041,-0.005,-0.0049,0.0084,-0.0035,0.0024,0.0151,0.0008,0.0023,-0.0034,-0.0032,-0.006,-0.0146,-0.0162,-0.0055,-0.0066,-0.008,-0.0064,0.0047
2005-09-03,16.7175,-62.1838,SO,0.2477,0.1549,0.1433,0.1236,0.0997,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-22,16.7188,-62.1804,E,-0.0439,,,,,,,,,,,,,,,,,,,,,,0.0002,0.0024,-0.0023,-0.0007,-0.002,-0.0039,-0.0031,-0.0016
2005-11-22,16.7188,-62.1804,NE,,,,,,,,,,,,,,,,,,,,,,,,0.0092,0.0031,0.0016,0.0031,-0.0023,-0.006,-0.009
2005-11-22,16.7188,-62.1804,NO,-0.1131,,,,,,,,,,,,,,,,,,,,,,,,-0.0064,1e-04,0.002,0.0,,
2005-11-22,16.7188,-62.1804,O,,1e-04,0.0002,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2005-11-22,16.7188,-62.1804,S,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-22,16.7188,-62.1804,SE,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642,
2005-11-22,16.7188,-62.1804,SO,,-0.3852,-0.3947,-0.3517,,,,,,,,,,,,,,,,,,,,,,,0.0253,-0.0166,-0.0686,-0.1164
2005-12-08,16.7229,-62.1827,E,,-0.0052,-0.002,0.0011,0.0078,0.0043,-0.009,,,,,0.0028,0.0085,0.0142,0.0091,0.0024,-0.0042,-0.0043,-0.0002,-0.0002,-0.0002,0.0093,0.0056,-0.0054,-0.0122,-0.0049,-0.0035,-0.0057,0.0006,0.0067
2005-12-08,16.7229,-62.1827,N,,0.014,0.0082,0.009,0.0092,0.0157,0.0146,0.015,0.014,0.0082,0.0078,0.0051,0.0043,-0.001,-0.002,-0.0017,-0.0015,-0.0017,-0.0054,-0.0044,0.0007,0.0071,0.0035,-0.0024,-0.0056,-0.0027,-0.0056,-0.0016,0.0015,0.007
2005-12-08,16.7229,-62.1827,NE,-0.0046,-0.005,-0.0048,-0.0044,0.0029,0.0027,0.006,0.0041,-0.0032,,,,0.0116,0.0036,-0.0014,-0.0067,-0.0078,-0.0081,-0.0046,0.0039,0.0014,0.0075,0.0075,0.0089,0.0082,0.0079,-0.0056,-0.0091,-0.0067,-0.0029
2005-12-08,16.7229,-62.1827,NO,0.0215,0.022,0.0157,0.0157,0.016,0.0231,0.0169,0.0099,0.003,0.0002,-0.0029,0.0009,0.0005,0.0002,1e-04,0.0006,0.0058,0.0094,0.0153,0.0162,0.0098,-0.0064,-0.0064,0.0035,-0.0065,-0.0071,-0.0077,-0.0084,-0.0076,-0.0076
2005-12-08,16.7229,-62.1827,O,,-0.015,-0.0182,-0.0345,-0.0541,-0.0606,-0.0525,,0.0423,0.0325,,,,,,,,,,,,,,,,,,,,
2005-12-08,16.7229,-62.1827,S,,0.0425,0.0235,0.0159,0.0096,0.0132,0.0219,0.0168,0.0142,0.0048,0.0058,0.0037,-0.0008,0.0002,0.0037,0.0012,-0.0011,-0.0056,-0.0004,-0.0009,0.0021,-0.0016,-0.0029,-0.0002,-0.0072,-0.0063,-0.0037,0.008,0.0122,0.0093
2005-12-08,16.7229,-62.1827,SE,0.0211,0.0161,0.0209,0.0229,0.0174,0.0071,0.001,-0.0076,-0.0065,-0.0065,-0.0143,-0.0055,-0.0118,-0.0039,0.0035,0.0144,-0.0019,-0.0027,0.0042,0.0096,0.01,0.0101,0.0083,0.002,0.0036,-0.0019,-0.0019,0.001,0.0016,-0.0007
2005-12-08,16.7229,-62.1827,SO,0.0364,0.0286,0.0214,0.0211,0.0079,0.0085,0.0094,0.0182,0.0179,0.0165,0.0041,-0.0045,-0.0053,-0.0058,-0.0058,-0.0029,-0.0031,-0.0006,0.0003,0.0049,-1e-04,0.0003,-0.0047,-0.0055,-0.0038,-0.003,0.0122,0.0187,0.0178,0.0392
2006-01-25,16.7221,-62.1818,E,,0.0192,0.0108,0.0017,0.003,0.0037,,,,,,,,,,,-0.0102,-0.012,,,,,-0.0011,-0.0014,-0.003,0.0017,0.0035,0.0032,0.0002,-0.0021
2006-01-25,16.7221,-62.1818,N,,0.0342,0.0252,,,,,,,,,0.0028,,0.0037,,,0.0045,0.0036,0.0005,-0.0004,-0.0033,-0.0033,-0.0034,-0.0017,0.0007,0.0103,-0.0003,-0.0008,-0.0039,0.0069
2006-01-25,16.7221,-62.1818,NE,0.0352,0.0292,0.0291,0.0352,0.0289,0.0229,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-25,16.7221,-62.1818,NO,0.0233,0.0132,0.0074,0.008,0.0026,0.0045,0.0044,0.0012,0.0005,0.0071,-0.0017,-0.0006,-0.0007,-0.0044,,,,0.0076,0.0056,,,,,-0.0125,,,-0.008,,,
2006-01-25,16.7221,-62.1818,O,,0.027,0.0232,0.0156,0.0022,-0.0025,-0.0076,-0.0025,0.0029,0.0032,-0.0033,,,,,,,,,,,,,,,,,,,
2006-01-25,16.7221,-62.1818,S,,0.0447,0.0386,0.0309,0.0218,0.0023,-0.0003,0.0035,0.0143,0.0186,0.0185,0.0134,-0.0005,-0.0026,-0.0021,-0.0049,-0.0036,-0.0018,-0.0005,-0.0035,-0.0042,0.004,0.0071,0.0028,0.0012,-0.0017,0.0017,0.011,0.011,0.0106
2006-01-25,16.7221,-62.1818,SE,0.0225,0.0217,0.0137,0.0136,0.0054,-1e-04,0.0023,0.0026,-0.0104,-0.0032,-0.0099,-0.0147,-0.0076,-0.0029,-0.0027,-0.0035,-0.001,0.005,-0.0007,-0.0002,1e-04,0.0028,0.0072,-0.0007,-0.0027,-0.0009,0.0028,0.0046,0.0026,0.001
2006-01-25,16.7221,-62.1818,SO,0.038,0.0382,0.0323,0.0292,0.0139,0.0037,-0.0004,0.0012,0.0037,0.0022,0.0022,-0.0041,-0.0036,-0.0034,-0.0036,,,,,,,,,,,,,,,
2006-03-14,16.718,-62.1765,N,-0.0559,-0.0569,,-0.0581,-0.0583,-0.0588,,-0.0323,-0.0091,0.0091,-0.0172,-0.0004,0.023,-0.0039,0.0078,0.0057,-0.0111,-0.0024,-0.006,-0.0189,-0.0181,-0.0044,0.0017,0.0023,-0.0038,-0.0057,-0.0057,0.0003,0.0049,0.0316
2006-03-14,16.718,-62.1765,NO,,-0.2032,-0.2162,-0.2273,-0.2293,-0.2425,-0.2579,-0.2321,-0.1992,-0.1518,-0.053,0.0388,0.152,0.0679,-0.035,0.1535,0.2453,,,,,,,,,,,,,
2006-03-14,16.718,-62.1765,O,,-0.082,-0.0828,,-0.0822,-0.0819,-0.0779,-0.0435,-0.0103,0.0271,,,,,,,0.0119,,,,,,,,,,,,,
2006-03-14,16.718,-62.1765,S,0.0011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-14,16.718,-62.1765,SO,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
2006-09-22,16.7183,-62.1796,E,-0.8025,,,,,,,,,,,,,,,,,,,,,,,,-0.0204,0.0003,,,,
2006-09-22,16.7183,-62.1796,N,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023,0.0029,-0.0052,
2006-09-22,16.7183,-62.1796,NE,,,,,,,,,,,,,,,,,,,,,-0.0346,-0.0154,-0.0195,0.0004,-0.0033,0.0052,0.0023,0.0019,-0.0028,0.0028
2006-09-22,16.7183,-62.1796,NO,-0.3678,,,,,,,,,,,,,,,,,,,,,,,,,-0.1705,-0.1782,-0.1297,0.0718,0.2224
2006-09-22,16.7183,-62.1796,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-22,16.7183,-62.1796,SE,,0.0144,,,,,,,,,,,,,,,,,,,,,,0.0004,0.0004,-0.0012,,,,
2006-09-22,16.7183,-62.1796,SO,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2006-11-09,16.7221,-62.1812,E,,-0.0257,,-0.0407,-0.0473,,,,,,,,,,,,,,,,,,,,,,,0.0024,,
2006-11-09,16.7221,-62.1812,N,,0.0304,0.0301,,,,,,,,,,,,-0.0021,0.0015,0.0016,-0.002,-0.0022,-0.0019,-0.0045,,,,,-0.008,-0.0084,-0.0069,0.001,0.0003
2006-11-09,16.7221,-62.1812,NE,-0.0061,-0.0153,,,,,,,,,,,,,,,,,,,,,,-0.0098,0.0003,0.0098,0.0055,0.0008,0.0094,-0.0057
2006-11-09,16.7221,-62.1812,NO,0.0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-09,16.7221,-62.1812,S,,0.0304,0.023,0.0265,0.0226,0.0224,0.0221,0.0088,0.0014,0.0053,0.0061,-0.0045,-0.0084,-0.0137,,,,,,,,,,,,,,,-0.0268,-0.0268
2006-11-09,16.7221,-62.1812,SE,0.0054,-0.0016,0.0058,0.0098,0.0078,0.008,0.0115,0.0022,0.0048,0.0044,0.0024,-0.0083,-0.0287,,,,,,,-0.006,0.0053,-0.0018,0.0018,0.002,0.004,0.0044,0.0119,0.0051,0.0058,0.0063
2006-11-09,16.7221,-62.1812,SO,0.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25,16.7185,-62.1756,E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25,16.7185,-62.1756,N,-0.0377,-0.0367,-0.0373,-0.0289,-0.0116,-0.0036,0.0088,0.0143,,,,,-0.0396,-0.0365,-0.0396,-0.0312,-0.0315,-0.0244,-0.0144,-0.0136,-0.0171,-0.0195,-0.0115,-0.0064,-0.0015,0.0041,0.0036,-0.0064,-0.0036,-0.0087
2006-11-25,16.7185,-62.1756,NE,,-0.0374,-0.0374,-0.0373,-0.0309,,,,,,,,,-0.0357,-0.0357,-0.0355,-0.0267,-0.0317,-0.0182,-0.0087,-0.0021,-0.0018,0.0048,0.0141,0.006,0.0061,0.0154,0.0288,0.0469,0.0423
2006-11-25,16.7185,-62.1756,NO,,0.476,0.6353,0.6277,,,,,,,,,,,,,,,,-0.1256,-0.1521,,,,,,,,,
2006-11-25,16.7185,-62.1756,O,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25,16.7185,-62.1756,S,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25,16.7185,-62.1756,SE,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-25,16.7185,-62.1756,SO,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-12,16.7194,-62.1804,E,,,,,,,,,,,,,,,,,,,,,,,,-0.0262,-0.0064,0.0073,0.0153,0.0081,-0.0019,-0.0139
2007-01-12,16.7194,-62.1804,N,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
2007-01-12,16.7194,-62.1804,NO,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-13,16.7237,-62.181,E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0216,0.0196,0.0097,-0.0038
2007-02-13,16.7237,-62.181,N,,0.0909,0.0802,,,,,,,,,,,,-0.0045,0.0089,0.0184,0.0368,0.0344,0.0342,0.0255,-0.0098,-0.0119,-0.0092,-0.0055,0.001,-0.0118,-0.0194,-0.0154,-0.0037
2007-02-13,16.7237,-62.181,NE,,,,,,,,,,,,,,,,,,,,,,,,0.0024,-0.0005,0.0047,0.0037,0.0107,-0.0078,0.0114
2007-02-13,16.7237,-62.181,NO,0.1032,0.0973,0.0915,0.077,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2007-02-13,16.7237,-62.181,O,,0.0916,0.0688,0.0734,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-13,16.7237,-62.181,S,,0.212,,,,,,,,,,,,,,,,,,,,,,0.025,0.0175,0.0074,0.0039,-0.0009,-0.0068,0.0158
2007-02-13,16.7237,-62.181,SO,0.0862,0.0804,0.0717,0.0783,0.082,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-05,16.7226,-62.1812,E,,0.0776,0.0551,0.0383,0.0233,0.0328,0.0229,0.0085,-0.0069,-0.0103,0.0137,0.0188,0.0006,0.008,-0.0031,-0.0036,0.0033,0.0028,0.0107,0.0073,-0.0229,-0.0187,-0.0331,,,0.0241,0.0151,0.0038,-1e-04,0.0046
2007-06-05,16.7226,-62.1812,N,,0.1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-05,16.7226,-62.1812,NE,0.1024,0.0829,0.0723,,,,,,,,,,,,-0.0097,-0.0262,-0.0101,-0.0065,-0.0067,-0.001,-1e-04,0.0019,0.0075,0.0096,0.0175,0.0163,0.0176,0.0159,-0.0299,-0.0391
2007-06-05,16.7226,-62.1812,NO,0.1782,0.1644,0.1637,,,,,,,,,,,,,0.0015,-0.0015,-0.0055,-0.0059,-1e-04,0.0168,,,,,,,,,
2007-06-05,16.7226,-62.1812,O,,0.1426,0.1378,0.1303,0.1052,0.0923,0.0645,,,,,,,0.0013,0.0006,1e-04,-0.0006,-0.0013,-0.0022,-0.0027,,,,,,,,0.021,-0.0057,
2007-06-05,16.7226,-62.1812,S,,0.0856,0.0703,0.0453,0.0406,0.0161,0.0119,0.02,0.0181,0.0356,0.0401,0.0283,0.0158,0.0036,-0.0161,-0.0065,-0.0016,0.0095,0.0122,0.0261,0.0236,-0.0057,-0.008,-0.0206,-0.0365,-0.0347,-0.0402,-0.0421,-0.0332,-0.0262
